"name","org.code","year","students","grade","maxgrade","address","latitude","longitude","zip","boston","charter","charter.alt","boston2"
"Boston - Joseph P Tynan",350181,"1999","11",-1,,"650 E.  Fourth Street, South Boston, MA 02127",42.33478747,-71.03828095,2127,TRUE,FALSE,FALSE,TRUE
"Boston - Josiah Quincy",350286,"1999","3",-1,,"885 Washington Street, Boston, MA 02111",42.34798813,-71.06498718,2111,TRUE,FALSE,FALSE,TRUE
"Boston - Manassah E Bradley",350215,"1999","28",-1,,"110 Beachview Road, East Boston, MA 02128",42.39142835,-71.00563981,2128,TRUE,FALSE,FALSE,TRUE
"Boston - Mattahunt",350226,"1999","56",-1,,"100 Hebron Street, Mattapan, MA 02126",42.27426142,-71.10606708,2126,TRUE,FALSE,FALSE,TRUE
"Boston - Mattapan ECC",350008,"1999","71",-1,,"108 Babson Street, Mattapan, MA 02126",42.27180116,-71.09209344,2126,TRUE,FALSE,FALSE,TRUE
"Boston - Mozart",350237,"1999","25",-1,,"236 Beech Street, Roslindale, MA 02131",42.28120422,-71.14104462,2131,TRUE,FALSE,FALSE,TRUE
"Boston - O W Holmes",350138,"1999","22",-1,,"40 School Street, Dorchester, MA 02124",42.2966783,-71.0749007,2124,TRUE,FALSE,FALSE,TRUE
"Boston - Oliver Hazard Perry",350255,"1999","1",-1,,"745 E. 7th Street, South Boston, MA 02127",42.33234398,-71.0302826,2127,TRUE,FALSE,FALSE,TRUE
"Boston - Patrick O'Hearn",350266,"1999","46",-1,,"1669 Dorchester Avenue, Dorchester, MA 02122",42.29376376,-71.06213249,2122,TRUE,FALSE,FALSE,TRUE
"Boston - Pauline Agassiz Shaw",350270,"1999","20",-1,,"429 Norfolk St, Dorchester, MA 02124",42.282101,-71.086933,2124,TRUE,FALSE,FALSE,TRUE
"Boston - Rafael Hernandez",350691,"1999","35",-1,,"61 School Street, Roxbury, MA 02119",42.31377706,-71.09818339,2119,TRUE,FALSE,FALSE,TRUE
"Boston - Richard J Murphy",350240,"1999","5",-1,,"1 Worrell Street, Dorchester, MA 02122",42.29459189,-71.04997672,2122,TRUE,FALSE,FALSE,TRUE
"Boston - Samuel Adams",350302,"1999","1",-1,,"165 Webster Street, East Boston, MA 02128",42.36572675,-71.03488259,2128,TRUE,FALSE,FALSE,TRUE
"Boston - Samuel W Mason",350304,"1999","25",-1,,"150 Norfolk Avenue, Roxbury, MA 02119",42.32642703,-71.07100323,2119,TRUE,FALSE,FALSE,TRUE
"Boston - Sarah Greenwood",350308,"1999","24",-1,,"189 Glenway Street, Dorchester, MA 02121",42.29650879,-71.08069611,2121,TRUE,FALSE,FALSE,TRUE
"Boston - Warren-Prescott",350346,"1999","1",-1,,"50 School Street, Charlestown, MA 02129",42.37807833,-71.06417768,2129,TRUE,FALSE,FALSE,TRUE
"Boston - William Monroe Trotter",350370,"1999","4",-1,,"135 Humboldt Avenue, Dorchester, MA 02121",42.31533542,-71.08781531,2121,TRUE,FALSE,FALSE,TRUE
"Boston - Winship Elementary",350374,"1999","46",-1,,"54 Dighton Street, Brighton, MA 02135",42.34754004,-71.15443468,2135,TRUE,FALSE,FALSE,TRUE
"Boston - Young Achievers",350380,"1999","21",-1,,"20 Outlook Road, Mattapan, MA 02126",42.28198349,-71.09399311,2126,TRUE,FALSE,FALSE,TRUE
"BOSTON - AGASSIZ",350007,"2000","38",-1,,"20 Child St, Jamaica Plain, MA 02130",42.3073176,-71.1144849,2130,TRUE,FALSE,FALSE,TRUE
"BOSTON - BLACKSTONE",350390,"2000","41",-1,,"380 Shawmut Avenue, Boston, MA 02118",42.3402746,-71.07350707,2118,TRUE,FALSE,FALSE,TRUE
"BOSTON - BLUE HILL AVE ECC",350010,"2000","65",-1,,"263 Blue Hill Avenue, Roxbury , MA 02119",42.31538169,-71.07848391,2119,TRUE,FALSE,FALSE,TRUE
"BOSTON - CHARLES H TAYLOR",350054,"2000","12",-1,,"1060 Morton Street, Mattapan, MA 02126",42.27751091,-71.07775569,2126,TRUE,FALSE,FALSE,TRUE
"BOSTON - CHARLES SUMNER",350052,"2000","1",-1,,"15 Basile Street, Roslindale, MA 02131",42.28640747,-71.12687683,2131,TRUE,FALSE,FALSE,TRUE
"BOSTON - CURTIS GUILD",350062,"2000","10",-1,,"195 Leyden Street, East Boston, MA 02128",42.38860801,-71.00412302,2128,TRUE,FALSE,FALSE,TRUE
"BOSTON - EAST BOSTON ECC",350009,"2000","62",-1,,"135 Grove Street, East Boston, MA 02128",42.391456,-71.027336,2128,TRUE,FALSE,FALSE,TRUE
"BOSTON - EDWARD EVERETT",350088,"2000","13",-1,,"71 Pleasant Street, Dorchester, MA 02125",42.31405869,-71.05980903,2125,TRUE,FALSE,FALSE,TRUE
"BOSTON - ELC - EAST ZONE",350005,"2000","54",-1,,"370 Columbia Rd, Dorchester, MA 02125",42.311196,-71.071393,2125,TRUE,FALSE,FALSE,TRUE
"BOSTON - ELC - NORTH ZONE",350003,"2000","44",-1,,"121 Corey Road, Brighton, MA 02135",42.34194565,-71.14056396,2135,TRUE,FALSE,FALSE,TRUE
"BOSTON - ELC - WEST ZONE",350006,"2000","37",-1,,"200 Heath Street, Jamaica Plain, MA 02130",42.32602692,-71.10681915,2130,TRUE,FALSE,FALSE,TRUE
"BOSTON - ELLIS MENDELL",350100,"2000","5",-1,,"164 School Street, Roxbury, MA 02119",42.3169155,-71.1013381,2119,TRUE,FALSE,FALSE,TRUE
"BOSTON - GEORGE H CONLEY",350122,"2000","33",-1,,"450 Poplar Street, Roslindale, MA 02131",42.2746048,-71.12731934,2131,TRUE,FALSE,FALSE,TRUE
"BOSTON - HARVARD-KENT",350200,"2000","7",-1,,"50 Bunker Hill Street, Charlestown, MA 02129",42.3767399,-71.05702758,2129,TRUE,FALSE,FALSE,TRUE
"BOSTON - HENRY L HIGGINSON",350137,"2000","33",-1,,"160 HARRISHOF STREET, Roxbury, MA 2119",42.317677,-71.0915746,2119,TRUE,FALSE,FALSE,TRUE
"BOSTON - HORACE MANN",350750,"2000","12",-1,,"40 Armington  Street, Allston, MA 02134",42.3519992,-71.1377044,2134,TRUE,FALSE,FALSE,TRUE
